年,月,発生時間,災害状況,業種_大分類,業種_中分類,業種_小分類,事業場規模,起因物_大分類,起因物_中分類,起因物_小分類,事故の型,年齢
30,5,16～17,本人が運転する2tトラックから残土を降ろす作業中、運転席側にトラックが傾き横転し、地面とトラックの間に挟まれる。,建設業,土木工事業,その他の土木工事業,1～9人,物上げ装置、運搬機械,動力運搬機,トラック,転倒,22
30,5,13～14,新築工事現場内に、ハンドホールを設置し削孔部をスコップにて掘削作業をしていたが、ハンドホール内から被災者が掘削土が入らないよう手で出していたところ、外からのスコップの先端が左手中指に接触、切創を負った。,建設業,建築工事業,鉄骨・鉄筋コンクリート造家屋建築工事業,1～9人,その他の装置等,人力機械工具等,手工具,切れ、こすれ,69
30,5,8～9,資材置き場で材料の積み込みをする際、誤ってトラックの荷台と材料の間に指を挟んでしまい骨折した。,建設業,土木工事業,上下水道工事業,10～29人,物質、材料,材料,金属材料,はさまれ、巻き込まれ,49
30,5,16～17,会社内の資材置き場で足場資材の手すりを片付けているときに、手すりを収納するラック内に入れて整えている際に、手すりと手すりの間に指を挟んだ。,建設業,建築工事業,その他の建築工事業,30～49人,その他の装置等,その他の装置、設備,その他の装置、設備,はさまれ、巻き込まれ,28
30,5,13～14,鋼板の曲がり修正作業に鉄板を叩いていたところ、クサビの緩いハンマーを使うためハンマーヘッドが柄から抜け、角パイプ柱に当たり跳ね返って顔面に当たり負傷した。,建設業,その他の建設業,その他の建設業－その他,10～29人,その他の装置等,人力機械工具等,手工具,飛来、落下,58
30,5,21～22,路面覆工設置準備、舗装切断作業中、舗装切断ラインを確認する際、舗装カッターの刃に右手甲が接触し負傷した。,建設業,土木工事業,上下水道工事業,30～49人,動力機械,建設機械等,その他の建設機械等,切れ、こすれ,67
30,5,14～15,法面の草刈り作業をしていて、集草と刈草をダンプへ積み込む作業時ダンプ脇のU字溝に誤って右足から溝に落ちた。,建設業,土木工事業,その他の土木工事業,100～299人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,転倒,59
30,5,10～11,"看板屋が高所作業車で電球を取り替えていた。
被災者は下で基礎の補強工事をするための段取り作業を行っていて、看板屋がカバーのネジを数本外したところ、カバーが劣化していたため下に落ち被害者を直撃した。",建設業,土木工事業,その他の土木工事業,1～9人,動力機械,建設機械等,高所作業車,飛来、落下,55
30,5,10～11,倉庫前にて、キャリア付きの軽ワゴン車に固定している脚立を地面に下ろすために車両の横に別の脚立を立て、その脚立に3段ほど上がり固定していた脚立を固定具から外し持ち上げたところ、バランスを崩し後ろ向きに地面に落下、背中を強打した。,建設業,建築工事業,その他の建築工事業,1～9人,その他の装置等,用具,はしご等,墜落、転落,36
