年,月,発生時間,災害状況,業種_大分類,業種_中分類,業種_小分類,事業場規模,起因物_大分類,起因物_中分類,起因物_小分類,事故の型,年齢
24,3,22～23,冷凍庫内にて、翌日使用分のオリコン準備をしている際、ハンドフォークにてパレットの荷の引きこみ作業中、床のめくれ部につまづいてしまい転倒、肩を打ち、骨折した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,100～299,仮設物、建築物、構築物等,仮設物、建築物、構築物等,作業床、歩み板,転倒,38
24,3,13～14,トラックにて、配送先でトラック庫内にて荷下ろし作業中、商品を取ろうと持ち上げた際、腰にしびれが走り、動けなくなった。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,10～29,その他,起因物なし,起因物なし,動作の反動無理な動作,39
24,3,13～14,１階荷捌き場にて、被災者は入庫商品を検品し、終了後、商品から離れようとしたところ、当該商品を搬送する為、近づいてきたフォークリフトの左前輪に足を挟まれた。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,50～99,物上げ装置、運搬機械,動力運搬機,フォークリフト,激突され,21
24,3,11～12,専用バンド機の、バンド残少の為、取替作業の際、扉を開け、手をシーラー可動部付近に置いたまま、反対の手でタッチパネル式操作盤のシーラー可動をさせたところ、シーラー可動部と本体との間に、中指を挟まれ、骨折した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,10～29,その他の装置等,その他の装置、設備,その他の装置、設備,はさまれ巻き込まれ,54
24,3,10～11,個人宅新築現場にて、荷台の上の荷物の口に（石膏ボード）に乗り、荷下ろしをトラッククレーン（リモコン操作）にて行っていた際、荷物を吊り上げて、移動したのを確認し、荷物の方に気を取られ、荷台に下りたところ、足元をよく見ておらず、下りた足元にジン木があり、足を捻った。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,1～9,物上げ装置、運搬機械,動力運搬機,トラック,動作の反動無理な動作,45
24,3,3～4,入港のコンテナ荷役作業を終了し、被災者は、ガントリークレーンの格納に移動した。格納は１人がアンカーピンを入れ、別の１人は重りを下ろす作業だったが、前方のピンが入らないとのことで、被災者は入れたピンを抜こうとしたが、アンカーピンのバーが少し浮いていた為、手でバーを押さえながらピンを抜いた。後方にいた作業員は、ピンが抜けたので、重りを下げた。被災者は、バーの上にストッパーがあるのに気付かず、示指を負傷した。,貨物取扱業,港湾運送業,港湾荷役業,100～299,物上げ装置、運搬機械,動力クレーン等,クレーン,はさまれ巻き込まれ,40
24,3,11～12,トラック積み込み作業中、トラックへ積み上げたスチール棚の棚板が落下し、トラックの荷台の下で作業していた被災者に当たり、眼の上部を縫う切り傷を負った。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,10～29,その他の装置等,その他の装置、設備,その他の装置、設備,飛来・落下,25
24,3,11～12,保冷庫内の在庫確認作業の為移動中、保冷庫内のパレットの右端に足を引っ掛けて、倒れる際、肘を地面に打ち付けた。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,50～99,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,64
24,3,10～11,物流倉庫内にて、コンテナから貨物のコビー用紙を下ろす為、コンテナ右側のドアを開け、次に左側のドアを開けようとした。約３０ｃｍ開けた時点で開かなかった為、一旦閉めて開け直そうと思い、手を内ドアに当て、反対の手でドアを押したところ、思った以上に閉まり、早く手を挟んでしまい、中指と薬指を骨折した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,50～99,物上げ装置、運搬機械,動力運搬機,トラック,はさまれ巻き込まれ,34
24,3,11～12,配送途中、赤信号で停車中、後方より追突された。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,300～499,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）,51
24,3,23～24,フェリーの可動橋操作室にて、緊急時対応の操作教育中、手動付きエンジンを発動中にペダルがはずれ、手首を捻り、手首を負傷した。,貨物取扱業,港湾運送業,港湾荷役業,30～49,動力機械,原動機,原動機,動作の反動無理な動作,41
24,3,9～10,荷物を積載後、荷物にシートをかけている際、足を踏み外して転落し、足首を骨折した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,1～9,物上げ装置、運搬機械,動力運搬機,トラック,墜落・転落,61
24,3,10～11,バースにて、コンテナーより荷降ろしした商品をベルトコンベアへ流した後、パレットへの積み替え作業中、伸縮コンベアとフリーローラーの繋ぎ部分で商品の流しを行っていたところ、伸縮コンベアのエンド部分に手が巻き込まれて負傷した（商品の下部を押し流したことにより発生した）。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,100～299,物上げ装置、運搬機械,動力運搬機,コンベア,はさまれ巻き込まれ,44
