年,月,発生時間,災害状況,業種_大分類,業種_中分類,業種_小分類,事業場規模,起因物_大分類,起因物_中分類,起因物_小分類,事故の型
H25,11,16～17,納屋屋根葺替工事において、被災者は、高さ５ｍ以上の屋根上で瓦屋根の葺き替え作業を行っていた際、屋根から墜落した。,建設業,建築工事業,その他の建築工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,屋根、はり、もや、けた、合掌,墜落、転落
H25,12,16～17,被災者は、高さ約１３メートルの法面にて、落石防護網の設置作業を行っていた。法面に立てられたＨ鋼に、取り付けていた水平方向の単管に足をかけて作業を行っていたところ、単管が下方向にずれ、被災者は１３メートル下の地上に墜落した。,建設業,土木工事業,その他の土木工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,その他の仮設物、建築物、構築物等,墜落、転落
H25,2,19～20,ホテルのバスが、ホテルエントランスを後退しながら公道に出ようとしていた。たまたまエントランスにいた被災者は、バスの後退誘導を行っていたが、バス運転者が電柱のある右方向に急にハンドルを切ったため、被災者が運転席のある方に移動したところ、背後にあった電柱との間に挟まれた。,接客娯楽業,旅館業,旅館業,50～99,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,はさまれ、巻き込まれ
H25,9,6～7,被災者は、一人で新聞配達を行っていた。新聞配達を終え、自宅に帰る時間になっても被災者が戻らないため、家族や近所の人が同地内を捜索したところ、町道から約２ｍ下の用水路の中で意識を失い倒れている被災者を発見した。被災者は発見後、救急搬送されたが、溺死により死亡が確認された。,商業,小売業,新聞販売業,10～19,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,墜落、転落
H25,9,10～11,施設駐車場に生えている立木の枝が、駐車場に入場して来る車両の支障となるため、枝打ち作業を行っていた。被災者は、はしごを施設の案内看板（高さ４ｍ）に立てかけ、はしご上において作業を行っていたところ、案内看板がはしごの支点となり、シーソーのように動きはしごは案内看板を飛び越え逆さまの状態となり、被災者ははしごから落下し顔面を打ち付けた。,教育・研究業,教育・研究業,その他の教育研究業,20～29,その他の装置等,用具,はしご等,墜落、転落
H25,8,11～12,被災者と同僚労働者の２名が、顧客先へ出張し、固液分離装置（豚の排泄物を脱水し、固体と液体に分離する機械）の修理作業を行っていたところ、固液分離装置の近くにある浄化槽（深さ３．９ｍ）に被災者が転落した。尚、浄化槽には汚水（豚の排泄物）が深さ３．６ｍ溜まっていたため、被災者は溺れて窒息死した。,製造業,機械器具製造業,機械（精密機械を除く）器具製造業,10～19,その他の装置等,その他の装置、設備,その他の装置、設備,墜落、転落
H25,3,12～13,被災者は、前日の県外での運送業務を終え、会社へ報告してその日は終了した。　翌日、予定先の事業場から「到着時刻を経過しているが被災者が到着していない」旨の連絡が会社に入り、被災者を捜したところ、高速道路のパーキングに停車したトラックの運転席後部のベッドで横たわっているところを発見された。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,50～99,その他,起因物なし,起因物なし,その他
H25,4,15～16,接岸しているコンテナ船を離岸させるため、被災者他１名が乗り込んでいた作業船は、コンテナ船の船首に緊結されたロープを船尾のフックに緊結し、曳航。コンテナ船の船首の向きを変えた後、フックからロープを外す予定であったが、ロープが張ってしまい外せなくなりそのままコンテナ船に引っ張られ転覆。操舵していた労働者は、海中で発見されたが死亡していた。,貨物取扱業,港湾運送業,港湾荷役業,30～39,物上げ装置、運搬機械,乗物,その他の乗物,交通事故（その他）
H25,5,16～17,ローラーコンベア用の搬送ローラー（重量３４９ｋｇ）を製作する過程において、その構成部材となるパイプ、シャフト、フランジを組合せ（仮付けした状態のもの）、その接触する円周部を直立させた状態で溶接するため、自家製の吊治具により玉掛けし、天井クレーンで吊上げ移動中、吊荷が吊治具から外れ、しゃがんだ状態でクレーン操作を行っていた被災者を直撃した。,製造業,機械器具製造業,機械（精密機械を除く）器具製造業,10～19,その他の装置等,用具,玉掛用具,飛来、落下
H25,10,16～17,被災者は、ドラグショベルで採石場の表土の除去作業を行っていた。数段下のベンチでは同僚がドラグショベルにより採石の選別作業を行っており、終業が近づいたため、同僚はドラグショベルを運転し、採石場下方へ移動を始めたが、いつもなら後を追って降りてくる被災者が降りてこないため、上部方向へ上がってみたところ、被災者が運転していたドラグショベルが転落・横転し、その脇で倒れている被災者を発見した。,鉱業,土石採取業,採石業,1～9,動力機械,建設機械等,掘削用機械,墜落、転落
H25,7,16～17,被災者は、ハンドガイドローラーでジャリ道を舗装していたところ、後進していた４トンダンプトラックに激突、転倒した際、左後タイヤに頭をひかれた。,建設業,土木工事業,道路建設工事業,10～19,物上げ装置、運搬機械,動力運搬機,トラック,激突され
H25,1,16～17,被災者は、チェーンソーを使用して立木の伐倒作業に従事していたが、木の切り株付近に倒れているところを、一緒に現場へ入場していた同僚によって発見された。　,建設業,土木工事業,道路建設工事業,1～9,環境等,環境等,立木等,激突され
H25,6,7～8,被災者は、事業場内に設置してある機械についてトラブルが発生したことを社内メールにより確認し、通用口から工場内に入場し、当該機械のトラブル解消を行った。翌朝、事業場内にある食堂において倒れている被災者を、出社してきた社員が発見した。　,製造業,電気機械器具製造業,軽電機製造業,100～299,その他,起因物なし,起因物なし,その他
H25,5,8～9,被災者は、同僚労働者１名と事業場駐車場付近にある河川の斜面に自生する立木の伐採作業を行っていた。被災者は、立木に梯子を掛け、梯子に上りながら伐採作業を行っていたが、被災者のチェーンソーの音がしなくなったので、被災者から離れた位置で別の立木の枝打ち作業を行っていた同僚が、被災者の作業箇所にいくと、約７ｍ下の河川でうつ伏せになって倒れている被災者を発見した。,接客娯楽業,旅館業,旅館業,40～49,その他の装置等,用具,はしご等,墜落、転落
H25,6,9～10,会社資材置き場において、ドラグショベルで塩ビ製のパイプの束の運搬作業をしていた際、被災者はパイプの束から玉掛ロープを外した後、ドラグショベルの操縦者がロープを引き抜くためにブームを上げたところ、パイプの束が運転席方向に少し動いたため、被災者が押さえるためにブームの下に移動した。その直後、ドラグショベルの右履帯が溝に落ち、右前方に車体が傾いて転倒し、被災者はブームと地面に身体を挟まれた。,建設業,土木工事業,砂防工事業,1～9,動力機械,建設機械等,掘削用機械,激突され
H25,7,9～10,被災者は、溶接作業者に溶接棒を渡すため、足場（単管張出足場）上を溶接棒数十本入りの一斗缶を持って移動中、躯体と足場板の間２６ｃｍの隙間から墜落、約２４ｍ下の地面に激突した。尚、発生場所付近は作業床の幅７６ｃｍの箇所であった。,建設業,建築工事業,建築設備工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,足場,墜落、転落
H25,11,1～2,トラックでの配送作業で走行中、トンネル内照明工事のために停車していた大型トラックに追突した。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,1～9,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）
H25,5,10～11,個人宅の北側外壁際に設置していた貯湯タンク（重量約５４０ｋｇ）の西側の基礎土台が沈下してタンクに傾きが生じたため、傾き補修のため東方向にワイヤーにて引っ張り、沈下した側の土台下にかさ上げブロックを入れようと、上席者と被災者の２人で西側土台の下周りの土をスコップで堀り、西側土台が完全に浮いた状態になった時、突然タンクが北側に倒れ、被災者がタンクと北側擁壁との間に挟まれた。,建設業,その他の建設業,その他の建設業-その他,1～9,その他の装置等,その他の装置、設備,その他の装置、設備,崩壊、倒壊
H25,10,11～12,ドラグショベルでつり上げた雨水桝（重量約２２０ｋｇ）が、つり具の縦型クランプから外れて地面（勾配１１°～１６°）を転がり、高さ約３ｍ下へ落下し、法面の下でモルタルの均し作業をしていた被災者が下敷きとなり死亡した。尚、ドラグショベルはクレーン仕様ではなかった。,建設業,土木工事業,その他の土木工事業,1～9,その他の装置等,用具,玉掛用具,飛来、落下
H25,3,11～12,被災者は、所属事業場構内で荷主の製材会社の労働者との共同作業で、トラックに住宅用加工材を積込む作業を行っていた。フォークリフト運転の荷主の労働者が最後の材を積み終え、フォークリフトを所定位置に移動させた際、材が落ちる音がした為、積込場所に戻ると、積荷の一部の木材２束（約１６０ｋｇと約３０ｋｇ）が地面に落下、そばに被災者が倒れていた。被災者は、直前に積み荷上でロープ掛けしていたが、災害時の現認者なく詳細は不明。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,30～39,物上げ装置、運搬機械,動力運搬機,トラック,墜落、転落
H25,7,11～12,走行中に故障した８ｔトラック（ウイング車）の修理のため、作業員２名で現場に向かい、被災者を現場に残し、１名が必要な工具を営業所に取りに行き、再び現場に戻ってきたところ、トラック左後輪に被災者が巻き込まれていた。,その他の事業,その他の事業,その他の事業-その他,1～9,物上げ装置、運搬機械,動力運搬機,トラック,激突され
H25,10,12～13,被災者は、山林内の松茸採取の作業を行っていたが、松茸採取を終えたため作業現場を離れようとしたところ、傾斜角約４０度の山の斜面から約１５メートル下に転落した。,農林業,農業,農業,1～9,環境等,環境等,地山、岩石,墜落、転落
H25,4,13～14,駐車場で、駐車場の出口精算機の点検中に突然倒れ、救急搬送されたが死亡した。,商業,その他の商業,その他の商業-その他,20～29,その他,起因物なし,起因物なし,その他
H25,4,13～14,運転していた被災者は、ドラグショベルで法面掘削作業中、ドラグショベルとともに路肩から約１．６ｍ下の地面に転落し、ドラグショベルの下敷きとなった。,建設業,土木工事業,その他の土木工事業,1～9,動力機械,建設機械等,掘削用機械,墜落、転落
H25,3,13～14,構造物補修外工事現場で、交通規制業務を行っていた被災者は、国道を事務所に向かって歩いていた所、後方から走行してきた軽自動車にはねられ死亡した。,その他の事業,その他の事業,警備業,30～39,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H25,1,13～14,林道を整形、舗装する工事現場において、幅員約３．５メートルの道路をタイヤローラーで走行中、路肩からタイヤローラーごと約３メートル下の谷藪に転落した。,建設業,土木工事業,道路建設工事業,10～19,動力機械,建設機械等,締固め用機械,墜落、転落
H25,7,13～14,国道上り線において、信号待ちをしていた車列に大型トラックが追突し、計６台の車両が関係する交通事故となった。このうち、車列の最後尾で大型トラックに追突された３ｔトラック運転手が死亡した。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,10～19,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）
H25,4,14～15,バルク車内の製品確認のため、バルク車に固定されたハシゴを昇っていた被災者は、コンクリート地面に墜落した。,製造業,その他の製造業,その他の製造業-その他,20～29,物上げ装置、運搬機械,動力運搬機,トラック,墜落、転落
H25,5,14～15,民家の造成工事において、民家の裏山部分を地面から高さ約４ｍ掘削（勾配約８０度）後、被災者は、この掘削した地山と民家の間に水路を設けるため型枠を組み丁張作業中、この掘削した地山が崩壊した。崩壊した土砂が被災者の下半身まで埋まり、転倒した際、ドラグショベルの排土板で頭部を強打し死亡した。,建設業,土木工事業,土地整理土木工事業,1～9,環境等,環境等,地山、岩石,崩壊、倒壊
H25,4,14～15,農業倉庫新築工事現場内、くさび緊結式の移動式足場上で、本筋交いに耐震金物の仮止めを終了した後、当該移動式足場から外部足場に乗り移ろうとした際、移動式足場が当初の位置からずれ、２．８ｍの高さから、移動式足場と外部足場の間に墜落した。,建設業,建築工事業,木造家屋建築工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,足場,墜落、転落
H25,4,14～15,災害発生場所の地下階段踊り場で、倒れている被災者が発見された。尚、目撃者がいないため推測であるが、被災者は地下１階から地下２階へ下りる階段を、肩に掃除機を掛けて上から下に向かって掃除をしていたが、階段から足を踏み外して転落、頭を強く打ったものと思われる。,清掃・と畜業,清掃・と畜業,ビルメンテナンス業,100～299,仮設物、建築物、構築物等,仮設物、建築物、構築物等,階段、桟橋,墜落、転落
H25,8,14～15,木造住宅の解体工事現場において、廃材（コンクリート片）をドラグショベルでトラックに積み込んでいたところ、ドラグショベルのバケットから廃材が落下し、被災者が下敷きになった。,建設業,その他の建設業,その他の建設業-その他,1～9,動力機械,建設機械等,掘削用機械,飛来、落下
H25,4,16～17,電柱の取替工事で、警備員である被災者は、電柱を設置する箇所の掘削作業を行っている歩道の交通整理を行っていた際、市内へ帰宅中の軽トラックにはねられ、頭を強く打ち死亡した。　　,その他の事業,その他の事業,警備業,30～39,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H25,4,16～17,被災者は、高さ３ｍのセメントローリー車のタンク上から墜落し、外傷性硬膜化血腫により死亡した。発見時、タンク中央付近にあるマンホールの位置に近いところに倒れていたところから、このマンホール付近で何らかの作業していたのではないかと推測されるが、被災者の一人作業時に発生した災害であるため、作業内容及び発生状況は不明である。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,20～29,物上げ装置、運搬機械,動力運搬機,トラック,墜落、転落
H25,10,16～17,道路建設工事現場において、ブルドーザーを運転していた被災者は、ブルドーザーとともに路肩から約３．５ｍ下の地面に転落し、ブルドーザーの下敷きとなった。,建設業,土木工事業,道路建設工事業,10～19,動力機械,建設機械等,整地・運搬・積込み用機械,墜落、転落
H25,11,16～17,河川の築堤工事現場において、場内にあった４ｔダンプのバッテリーが上がっていたため、同場内のブルドーザーをダンプに横付けし、お互いのバッテリーをケーブルで繋いでいたところ、ブルドーザーが突然後退し、ブルドーザーの左クローラー後部で作業を見ていた被災者が轢かれた。なお、ブルドーザーはエンジンをかけたままであった。,建設業,土木工事業,その他の土木工事業,10～19,動力機械,建設機械等,整地・運搬・積込み用機械,はさまれ、巻き込まれ
H25,10,16～17,被災者は、脚立を使用し高さ２ｍの柳の木の剪定を行っていた。被災者が当該柳の枯れ枝に手をかけたところ、その枯れ枝が折れたため脚立から墜落し、隣地境界に埋設してあるＵ字溝に右側頭部を打ち付けた。,農林業,農業,農業,1～9,その他の装置等,用具,はしご等,墜落、転落
H25,3,18～19,最大積載荷重１３．８ｔのトラックで運送中、被災者は荷台の積み荷（フープ鉄筋束、約７９ｋｇ）が荷崩れしていることに気付いたため、高架下道路脇にトラックを止めて、会社に連絡し手助けを要請した。その後、手助けに向かったドライバーが、荷と荷の間に腹部を挟まれ意識を失っている状態の被災者を発見し、救急搬送したが死亡が確認された。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,20～29,荷,荷,荷姿の物,崩壊、倒壊
H25,3,19～20,被災者は、床上操作式天井クレーン（２．８ｔ）を操作して鋼材の束（直径３８ｍｍ、長さ７ｍの鋼材２５本、重量約１．６ｔ）を吊り、約１ｍ程移動中、吊り荷の鋼材の束に激突された。,製造業,輸送用機械等製造業,自動車・同付属品製造業,100～299,物上げ装置、運搬機械,動力クレーン等,クレーン,激突され
H25,8,20～21,ショッピングセンター閉店後、市道を挟んで向かいにある第２駐車場を閉めた後、交差点の横断歩道を渡って店舗に戻る途中、右折してきた軽自動車にはねられ、頭を強く打ち死亡した。,商業,小売業,その他の小売業,1～9,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H25,1,22～23,警備員が構内の見回り中、Ｔ館西側階段６階の踊り場で倒れている被災者を発見した。死因は、急性硬膜下血腫他外傷性のもの。尚、現認者がいないが、なんらかの理由で階段から転落したと推測される。,教育・研究業,教育・研究業,その他の教育研究業,100～299,仮設物、建築物、構築物等,仮設物、建築物、構築物等,階段、桟橋,墜落、転落
H25,11,3～4,被災者は、バイクで新聞配達中、町道沿いの用水路にバイクごと転落した。,商業,小売業,新聞販売業,30～39,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H25,10,4～5,被災者は、他の２人とともに工場の運転業務（設備の見回り、重機の運転）に従事していたが、ベルトコンベアのテール部のベルトが偏っていることに気づき、運転室に連絡した後、一人で、運転中のコンベアの柵を外し、ベルトの間に体を入れてヘラでプーリーの付着物を削ぎ落とそうとしたところ、ベルトとプーリーの間に左腕と左足を巻き込まれた。,製造業,鉄鋼業,その他の鉄鋼業,100～299,物上げ装置、運搬機械,動力運搬機,コンべア,はさまれ、巻き込まれ
H25,7,4～5,農道において牛乳配達中、坂道に止めていた軽トラックが動き出し、約２ｍ下の地面にトラックと一緒に転落し軽トラックの下敷きとなった。,商業,小売業,その他の小売業,1～9,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H25,12,6～7,高速道路上り線において、インター分岐点より後方に設定した第２テーパー（車線規制）の起点位置で、被災者が一人で夜間用規制材と昼間用規制材を取り換える作業を行っていたところ、追越車線からトラックが進入し、被災者と衝突。被災者は中央分離帯あたりまで跳ね飛ばされ、死亡した。,その他の事業,その他の事業,警備業,100～299,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）
H25,3,7～8,新造したカーフェリーの試運転中、被災者はスクリューシャフトの横に設置してあるＣＰＰ装置（可変ピッチプロペラ）を確認するため、通路の床を開け当該シャフトのカップリング上に乗り角度を確認中、コントロールルームで減速機を稼働させたため、シャフトが回転し、船体とシャフトとの間にはさまれた。,製造業,非鉄金属製造業,非鉄金属鋳物業,100～299,動力機械,動力伝導機構,動力伝導機構,はさまれ、巻き込まれ
H25,9,9～10,電気設備の点検を行っていた被災者は、受電所の主ＶＣＢ（継電器）を切らないまま、二次側にある別のＶＣＢの点検準備を行っていて、充電部分で感電した。尚、目撃者がいないため、具体的に何をしていたか、接触したか電撃により感電したか等詳細は不明。尚、電圧は６６００Ｖ。感電防止対策なし。,製造業,機械器具製造業,機械（精密機械を除く）器具製造業,300～499,その他の装置等,電気設備,電力設備,感電
H25,8,9～10,貨物船内の圧延用ロール３本を岸壁にあるクレーンでつり上げて陸揚げする作業中、被災者は１本目のロール（重量６４ｔ）に玉掛し、船底より地切りしようとしたところ、ロールが回転し始め隣のロールと接触しそうになったため、咄嗟にロールの回転を止めようとして隣のロールとの間に挟まれた。,製造業,鉄鋼業,製鉄・製鋼・圧延業,300～499,物上げ装置、運搬機械,動力クレーン等,クレーン,はさまれ、巻き込まれ
H25,10,9～10,倉庫解体撤去工事現場において、飛散防止用のための養生シートを建物外周の単管足場に取り付ける作業を、被災者は上部、同僚は下部に分かれて行っていた。被災者は、上部のシートを取り付け終了後、スレート屋根上で使用しなかったシートを片付けていたところ、明かり採り用のアクリル製の波板を踏み抜き、約４．３ｍ下のコンクリート土間に墜落した。,建設業,建築工事業,その他の建築工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,屋根、はり、もや、けた、合掌,墜落、転落
H25,4,9～10,河川護岸改修工事現場で、川沿いの道路に並べて敷いていた敷鉄板（１枚約８００ｋｇ）を撤去するため、被災者運転のクレーン機能付き（０．９ｔ吊）ドラグショベルで鉄板１枚を吊上げ、鉄板が川の上を通るように旋回していたところ、ドラグショベルごと川に転落し、被災者はドラグショベルの下敷きになった。,建設業,土木工事業,その他の土木工事業,1～9,物上げ装置、運搬機械,動力クレーン等,移動式クレーン,墜落、転落
H25,9,9～10,道路の端において、軽トラックのキャビン上で、梯子を使ってバス運行に支障のある木の撤去作業を行っていたところ、約１．６ｍ下のアスファルト道路上に墜落した。,運輸交通業,道路旅客運送業,バス業,50～99,物上げ装置、運搬機械,動力運搬機,トラック,墜落、転落
H25,12,9～10,介護施設に併設されている診療所を利用する患者２名の送迎を指示された被災者は、当該施設所有の軽乗用車に患者を同乗させ、踏切に差し掛かったところ、列車と衝突死亡した。なお、同乗していた患者２名のうち１名が死亡、１名が負傷した。,保健衛生業,社会福祉施設,社会福祉施設,10～19,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H25,1,16～17,被災者は、事業場所有の船に箱船を積み、海苔養殖場に海苔の消毒作業のために出向いた。当該場所で箱船を降ろし、海苔網を引き上げて箱船の薬槽に浸け、再び養殖場に戻す作業を行っていたところ、何らかの原因により箱船がバランスを崩し、海に転落し溺死した。,畜産・水産業,水産業,その他の水産業,1～9,環境等,環境等,水,おぼれ
H25,5,10～11,石炭火力発電所構内で発電ボイラーの定期補修作業に従事していた被災者は、補修に伴い開口部となった石炭搬送用シュート（鋼製の管）上部から、同シュート下部まで約１６メートル転落し、全身を強打した。,建設業,その他の建設業,機械器具設置工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,墜落、転落
H25,3,10～11,機体重量約１７トンのトラクター・ショベルを使用し、長さ約４メートルに切断した木材のカットマスと呼ばれている仮置き場から第一工場まで木材を運び、方向転換しようとしてバックで走っていたところ、作業場にいた被災者に激突した。,製造業,木材・木製品製造業,製材業,500～999,動力機械,建設機械等,整地・運搬・積込み用機械,激突され
H25,7,10～11,被災者は、ゴルフコース脇の雑木林内に入り、一人で電柱付近に生えていた雑草の草刈り作業（鉈を使用）を行っていたところ、背中を蜂に刺された。その後、少し離れた場所に停めてあった作業用の軽トラックまで自力で移動したが、助手席で倒れているところを同僚に発見され、病院に搬送されたが死亡が確認された。,接客娯楽業,その他の接客娯楽業,ゴルフ場,20～29,環境等,環境等,その他の環境等,その他
H25,10,10～11,被災者は、構内の設備の塗装作業終了後、軽トラックを使用し部材を片付け、構内の所定場所に軽トラックを戻そうと一人で運転中、何らかの理由で運転が困難な状態になり減速することなく工場の柱に激突した。災害発生直後、車は傾いたままタイヤが回転した状態で止まっており、被災者がブレーキを踏んだ形跡は認められなかった。　,製造業,輸送用機械等製造業,造船業,30～39,物上げ装置、運搬機械,動力運搬機,トラック,激突
H25,3,11～12,建物新築工事に使用した単管ブラケット足場（建地２本）の解体作業を行うにあたり、被災者は第１層目の作業床（高さ１．８６メートル）上から第２層目の作業床を取り外そうとしていたところ、バランスを崩し墜落した。,建設業,建築工事業,鉄骨・鉄筋コンクリ-ト造家屋建築工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,足場,墜落、転落
H25,11,11～12,スーパーの駐車場でトラック（３．５ｔ荷台がアルミ製の箱型）から荷卸し作業をしていた被災者は、缶飲料４４箱（約６１６ｋｇ）を載せたカートトラック（台車）をトラック後部のゲートに移動させていたところ、カートトラックと共に約１ｍ下のアスファルト地面に転落し、パレットや缶飲料箱の下敷きになった。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,50～99,物上げ装置、運搬機械,動力運搬機,トラック,墜落、転落
H25,7,11～12,サマーキャンプ同行のため、幼稚園のバスの後方を乗用車に乗って運転中、対向車線にはみ出し、対向車両のトレーラに衝突した。,教育・研究業,教育・研究業,その他の教育研究業,20～29,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H25,2,11～12,被災者はバイクで直進中、右折してきた普通乗用車と衝突し、さらに歩道の花壇に激突して死亡した。,金融・広告業,金融業,銀行・信託業,1～9,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）
H25,3,12～13,チェーンソーを使用してブナ、ナラ木の伐倒作業を行っていた被災者は、伐木（ナラ）の下敷きになっていたところを発見された。,農林業,林業,木材伐出業,1～9,環境等,環境等,立木等,激突され
H25,8,13～14,鉄骨２階建ての民家の解体現場において、高さ約５．８メートルの屋上部分の壁にまたがり、２階の天井の梁部分の鉄骨をガスバーナーで切断していたところ、２階の天井が崩れ落ち、崩れ落ちた天井とともに民家１階部分の瓦礫の上に墜落した。,建設業,建築工事業,その他の建築工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,屋根、はり、もや、けた、合掌,墜落、転落
H25,1,14～15,被災者は、他現場で発生した土砂の引き渡しのため、揚土岸壁に接岸したガットバージ船上において、土量検収作業（写真撮影等）を行っていたところ、ガットバージ船が流され、船の位置を修正するために旋回させたクラムシェルのカウンターウエイトと、土砂ボックスとの間にはさまれた。,建設業,土木工事業,港湾海岸工事業,30～39,動力機械,建設機械等,掘削用機械,はさまれ、巻き込まれ
H25,2,15～16,ダンプトラックに積み込んで運ばれて来たドラグ・ショベルを、バケット部分を支えとして前進させながら荷台から降ろしていたところ、ドラグ・ショベルが横転して法面下の田圃の中に落ち、投げ出された運転者がアームの下敷きとなった。,建設業,土木工事業,河川土木工事業,1～9,動力機械,建設機械等,掘削用機械,墜落、転落
H25,1,16～17,木造家屋の解体工事を行うにあたり、当日の作業の終了前に、解体途中の壁の倒壊を防止するため、壁に金具を取り付けてワイヤーで内側に引く作業を行う際、金具を取り付けるため２階床上で作業を行おうとしたところ、釘で固定されていた床材が外れて天秤状態となり、２．３メートル下の地面に墜落して頭部を強打した。,建設業,建築工事業,木造家屋建築工事業,10～19,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,墜落、転落
H25,4,16～17,船体ブロック上で、外板から張り出した吊ピース（船体ブロックの反転に使用するもので重量１９５ｋｇ）を同僚と切断中、被災者は、外板から内側に２ｍ離れたデッキ上で、吊ピースの穴にエステルロープを掛けてデッキ上に引き込もうとしていた。同僚が吊ピースを切断したところ吊ピースは落下し、同時にロープを被災者が掴んでいたため、船体ブロックの外板の墜落防止柵の間から、被災者は吊ピースとともに９．５ｍ下の定盤上に墜落した。,製造業,輸送用機械等製造業,造船業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,墜落、転落
H25,3,16～17,カキ打ちを終え、作業場の掃除をしていたところ、その日、休んでいた中国人研修生が急に２階から降りてきて、手に持っていた包丁やスコップで次々と同僚を殴りつけた。同僚が次々と襲われている間に外へ出て逃げたが、道路の中央で追いつかれ、頭部をスコップで何度も殴られ死亡した。,畜産・水産業,水産業,その他の水産業,10～19,その他,その他の起因物,その他の起因物,その他
H25,2,16～17,鋳造品搬送装置を搬入し、動作確認を行った後、当該装置の一部（重量約１ｔ）をクレーンで吊り、高さ約１ｍの架台４台に載せていた。被災者は、当該装置付近で何らかの作業を行っていたところ、重心が偏っていた装置が架台をはねて落下し、被災者は床との間に挟まれ死亡した。,製造業,機械器具製造業,機械（精密機械を除く）器具製造業,1～9,荷,荷,機械装置,激突され
H25,12,2～3,物流センターで荷を下ろすために被災者がトラックのあおりを開いたところ荷が崩れ、荷が当たり死亡した。尚、荷はキャビン側から左右２組、４列に並んで積まれていた。トラックの両ウィングを開け、運転席側のラッシングベルトを緩め、助手席側のあおりを開いたところ荷が崩れた。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,10～19,荷,荷,荷姿の物,崩壊、倒壊
H25,1,2～3,被災者は、営業所の２階の出張者が寝止まりできる宿泊部屋として利用されていた部屋に宿泊をしていた際、当該宿泊部屋から出火し、窒息、高度気道熱傷により死亡した。,建設業,土木工事業,道路建設工事業,10～19,環境等,環境等,その他の環境等,火災
H25,5,20～21,営業所にて事務作業を行っていたところ、被災者が腹背部の痛みを訴え、病院に救急搬送された。搬送中に意識不明・心肺停止状態となり、救急車内で救命処置、病院において救命治療が行われるも、死亡した。,建設業,土木工事業,道路建設工事業,20～29,その他,起因物なし,起因物なし,その他
H25,1,20～21,無線中継所の不具合の疑いがあったため、徒歩で登山道から山頂付近の中継所を目指したが、途中で吹雪のため断念。下山の連絡をした後、徒歩での移動も困難となり、１１９通報した。その後、捜索していたレスキュー隊によって救出されたが、うち１名が低体温症で死亡した。　,商業,小売業,その他の小売業,10～19,環境等,環境等,高温・低温環境,高温・低温の物との接触
H25,6,20～21,夜勤シフトで作業中の被災者は、同社で使用する横形マシニングセンタのツールチェンジ機構の修理のため機械内に入り、一人作業を開始。マシニングセンタに装着された刃部が右側頭下部に刺さり、死亡した状態で発見された。尚、被災の瞬間を現認したものはいない。,製造業,輸送用機械等製造業,自動車・同付属品製造業,100～299,動力機械,金属加工用機械,ボール盤、フライス盤,激突
H25,11,23～24,出張先の短期賃貸マンションの７階から出火して火災となり、９階に居住していた被災者が逃げ遅れ、９階の階段踊り場付近で倒れて死亡した。,建設業,建築工事業,建築設備工事業,300～499,環境等,環境等,その他の環境等,火災
H25,12,23～24,国道を速度５０キロメートルで南方向に走行中、交差点の中央分離帯に設置してあるコンクリート製の防護壁に衝突した。,運輸交通業,道路旅客運送業,ハイヤ-・タクシ-業,10～19,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
