年,月,発生時間,災害状況,業種_大分類,業種_中分類,業種_小分類,事業場規模,起因物_大分類,起因物_中分類,起因物_小分類,事故の型,年齢,年代
H28,10,16～17,製品製造建屋内で連結ブロック製造専用機で操作レバー、操作スイッチを操作して連結ブロックを製造していた。専用機の型枠にモルタルを入れて、ピンを押し出すレバーを操作し、その後、無意識の内に型枠の上に手を置いて、指が型枠に入り込み、ピンとモールドの穴に右手人差し指が挟まり負傷した。,製造業,窯業土石製品製造業,セメント・同製品製造業,10～29人,動力機械,一般動力機械,その他の一般動力機械,はさまれ、巻き込まれ,33,30代
H28,10,18～19,暗闇で段差が見えず転倒した。,製造業,食料品製造業,肉製品、乳製品製造業,50～99人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,31,30代
H28,10,14～15,工場内で処理した鶏肉を運搬中、渡り廊下の傾斜にて、足に力を入れた際に右足腫脹の肉離れを起こした。,製造業,食料品製造業,肉製品、乳製品製造業,100～299人,荷,荷,荷姿の物,動作の反動、無理な動作,51,50代
H28,10,14～15,工場生処理場に於いて、冷凍パンにダンボール箱を入れる作業中、少し離れたところにあるパレット上のダンボール箱を取りに行こうと歩いていたとき、フラットの床面で、つまずいたように前のめりに転倒し、両膝を強くつき、負傷した。,製造業,食料品製造業,水産食料品製造業,100～299人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,67,60代以上
H28,10,15～16,豚係留所の円形追込場で豚を屠畜場へ追い込む作業をしていた際、豚3頭が逆走して仕切り扉に勢いよくぶつかってきた。扉の前にいた被災者はその衝撃を右腹部に受け、腰を痛めた。,製造業,食料品製造業,肉製品、乳製品製造業,50～99人,環境等,環境等,その他の環境等,激突され,40,40代
H28,10,16～17,だんご用2連成型機にて練り肉を手で押し込んだ際、中にあるダブルスクリューに右手中指の先端が巻き込まれ、負傷した。,製造業,食料品製造業,肉製品、乳製品製造業,～,動力機械,一般動力機械,食品加工用機械,はさまれ、巻き込まれ,54,50代
H28,10,9～10,造船工事敷地内船台にて、新造船の建造工事における足場解体作業中、船尾部付近に設置していた足場の作業床上で、歩み板を撤去しようと手前に持ち上げたところ、板が反対側の足場から突然外れ落ちたことにより体勢を崩し、慌てて地面に飛び降りた際に、着地した両足の踵を負傷した。,製造業,輸送用機械等製造業,造船業,30～49人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,足場,墜落、転落,65,60代以上
H28,10,0～1,建屋に入る安全通路において、使用し終った模型を置場に返却して作業場に戻ろうとしている時、同通路は雨水の浸入で漏れていたが、それに気づかず早く作業場に戻りたいと走って来た為、漏れた通路上で滑って転倒し、その際に右足を骨折した。,製造業,輸送用機械等製造業,自動車・同付属品製造業,300～499人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,作業床、歩み板,転倒,22,20代
H28,10,9～10,おでん用の串こんにゃくを石灰水と一緒に外装袋へ詰め込む作業中、外装袋から水漏れを発見し、空袋を廃棄するため、2m離れたゴミ箱へ移動しようと振り向いた際に、背後に置いてあった台車に気が付かず、右足を台座の角に引っかけてしまい、バランスを崩して転倒した。その際、右膝をコンクリート床に強打し負傷した。,製造業,食料品製造業,その他の食料品製造業,10～29人,その他の装置等,人力機械工具等,人力運搬機,転倒,60,60代以上
H28,10,14～15,シートハウスの中で米が入っているフレコンが破れ、米を拾う作業をしていた時、被災者の後方にたまたま3段積にしていたフレコンが傾き、避けきれず米の下敷きとなった。,製造業,食料品製造業,その他の食料品製造業,10～29人,荷,荷,荷姿の物,崩壊、倒壊,41,40代
H28,10,16～17,見返しダーツ縫いの作業中、生地に添えていた左手人差し指を誤ってミシンの中に入れてしまった為、針が指先に刺さって折れて、負傷した。,製造業,衣服その他の繊維製品製造業,外衣下着製造業,100～299人,動力機械,一般動力機械,その他の一般動力機械,切れ、こすれ,40,40代
H28,10,14～15,チョッパー作業中、出口に肉片が溜まっていたので、安全カバーを開けて取ろうとした際、機械が完全に止まっておらず、指を負傷した。,製造業,食料品製造業,肉製品、乳製品製造業,50～99人,動力機械,一般動力機械,食品加工用機械,はさまれ、巻き込まれ,23,20代
